description,symbol
ENTERGY CORP,ETY.DE
COMPAGNIE DE SAINT GOBAIN,GOB.DE
NIKE INC -CL B,NKE.DE
FIRST SENSOR AG,SIS.DE
POOL CORP,SP1.DE
WT WHEAT,OD7S.DE
ASMALLWORLD AG,1Q7.DE
DOW INC,2OY.DE
WT LONG NOK SHORT EUR,LNOE.DE
GATEWAY REAL ESTATE AG,GTY.DE
HEINEKEN NV,HNK1.DE
NORTHROP GRUMMAN CORP,NTH.DE
MOLSON COORS BEVERAGE CO - B,NY7.DE
IQ INTERNATIONAL AG,IQL.DE
HWA AG,H9W.DE
EVOTEC AG - SPON ADR,EVTA.DE
RENAULT SA-UNSP ADR,RNL1.DE
4SC AG,VSC.DE
KLOECKNER & CO SE,KCO.DE
COVETRUS INC,2NJ.DE
BAYER AG-REG,BAYN.DE
KNAUS TABBERT AG,KTA.DE
ESTEE LAUDER COMPANIES-CL A,ELAA.DE
JOHNSON CONTROLS INTERNATION,TYIA.DE
FBD HOLDINGS PLC,EG7.DE
FREQUENTIS AG,FQT.DE
AMGEN INC,AMG.DE
WT COPPER 2X DAILY LEVERAGED,4RT3.DE
LS TELCOM AG,LSX.DE
BARCLAYS PLC,BCY.DE
INFINITE ORE CORP,37NN.DE
HORNBACH BAUMARKT AG,HBM.DE
TESLA INC,TL0.DE
DRAFTKINGS INC - CL A,8DEA.DE
WT BRENT CRUDE LONGER DATED,00EB.DE
B+S BANKSYSTEME AG,DTD2.DE
ADIDAS AG,ADS.DE
ROYAL DUTCH SHELL PLC-B SHS,R6C3.DE
THINK GLOBAL REAL ESTATE ETF,TRET.DE
OTRS AG,TR9.DE
WT WTI CRUDE - EUR DLY HDG,00XM.DE
CHIPMOS TECHNOLOGIES INC-ADR,CPIA.DE
TAG IMMOBILIEN AG,TEG.DE
FERRATUM OYJ,FRU.DE
CUREVAC NV,5CV.DE
SATS ASA,2S0.DE
FIVE9 INC,1F9.DE
WT WTI CRUDE OIL 2MTH,OESB.DE
NRG ENERGY INC,NRA.DE
VIAVI SOLUTIONS INC,UNS1.DE
BALL CORP,BL8.DE
ISH MSCI ERP ESG EHNCD EUR-D,EMNU.DE
ADM ENERGY PLC,P4JC.DE
HENSOLDT AG,HAG.DE
NATURAL GAS ETC VON BNPP,BNQ9.DE
XTRACKER SILVER ETC EUR,XAD6.DE
PLUG POWER INC,PLUN.DE
KION GROUP AG,KGX.DE
ORGANOVO HOLDINGS INC,4OR1.DE
RYANAIR HOLDINGS PLC,RY4C.DE
SIEMENS HEALTHINEE-UNSP ADR,SHL1.DE
TELEFONICA SA-SPON ADR,TNE2.DE
XILINX INC,XIX.DE
PHARMASGP HOLDING SE,PSG.DE
WT NASDAQ 100 3X DLY LVRGD,3QQQ.DE
QIAGEN N.V.,QIA.DE
WASTE MANAGEMENT INC,UWS.DE
BAYWA AG,BYW.DE
OHB SE,OHB.DE
COLGATE-PALMOLIVE CO,CPA.DE
ELECTRONIC ARTS INC,ERT.DE
SLM SOLUTIONS GROUP AG,AM3D.DE
WESTWING GROUP AG,WEW.DE
HOLOGIC INC,HO1.DE
WT PHYSICAL PALLADIUM,VZLB.DE
VERISIGN INC,VRS.DE
FORTUNE BRANDS HOME & SECURI,2FB.DE
BNP PAR RICI ENH HEAT OIL CR,BNQH.DE
X IE PHYSICAL SILVER ETC EUR,XSLE.DE
DATA MODUL AG,DAM.DE
METRO AG - UNSPONS ADR,B4BX.DE
AURELIUS EQUITY OPPORTUNITIE,AR4.DE
PALANTIR TECHNOLOGIES INC-A,PTX.DE
RCM BETEILIGUNGS AG,RCMN.DE
BASF SE-SPON ADR,BASA.DE
DEUTSCHE BIOTECH INNOVATIV A,DBI.DE
WT WTI CRUDE 2X DLY LVRGD,4RT6.DE
WT SHORT USD LONG EUR,XBJQ.DE
WINDELN.DE SE,WDL.DE
STELLANTIS NV,8TI.DE
QURATE RETAIL INC-SERIES A,LB3A.DE
MOUNTAIN ALLIANCE AG,ECF.DE
CINEMARK HOLDINGS INC,ZZA.DE
APACHE CORP,APA.DE
GESCO AG,GSC1.DE
DEUTSCHE POST AG-NEW,DPWN.DE
UNITED PARCEL SERVICE-CL B,UPAB.DE
GILEAD SCIENCES INC,GIS.DE
DICK'S SPORTING GOODS INC,DSG.DE
PHOENIX NEW MEDIA LTD -ADR,1PXA.DE
CIENA CORP,CIE1.DE
SCHALTBAU HOLDING AG,SLT.DE
FRANKLIN RESOURCES INC,FRK.DE
PFERDEWETTEN.DE AG,EMH.DE
MASTERCARD INC - A,M4I.DE
BERTRANDT AG,BDT.DE
NORMA GROUP SE,NOEJ.DE
WALMART INC,WMT.DE
PRUDENTIAL FINANCIAL INC,PLL.DE
Q-GOLD RESOURCES LTD,QX9G.DE
BANDWIDTH INC-CLASS A,5XB.DE
H&R GMBH & CO KGAA,2HRA.DE
NORATIS AG,NUVA.DE
FAST FINANCE24 HOLDING AG,FF24.DE
ADIENT PLC,18I.DE
TELEFONICA DEUTSCHLAND HOLDI,O2D.DE
MBB SE,MBB.DE
AROUNDTOWN SA,AT1.DE
PENTAIR PLC,PNT.DE
BNP PAR RICI WTI CRUDE OIL,B4NZ.DE
KONTOOR BRANDS INC,3KO.DE
COMCAST CORP-CLASS A,CTP2.DE
WT LONG USD SHORT EUR 5X DLY,5CH5.DE
WT NATURAL GAS - EUR DLY HDG,00XP.DE
GAZPROM PJSC-SPON ADR,GAZ.DE
WT ENERGY,OD7W.DE
XTRACKER GOLD ETC EUR HDG,XAD1.DE
ABBVIE INC,4AB.DE
SPLENDID MEDIEN AG,SPM.DE
DOCCHECK AG,AJ91.DE
NOKIA OYJ,NOA3.DE
AVERY DENNISON CORP,AV3.DE
SIXT LEASING SE,LNSX.DE
L3HARRIS TECHNOLOGIES INC,HRS.DE
INTERPUBLIC GROUP OF COS INC,IPG.DE
WT S&P500VIX SHFUT 2.25DLYLV,VIXL.DE
MICROVISION INC,MVIN.DE
WT ENERGY ENHANCED,XMWK.DE
SOFTWARE AG,SOW.DE
ERNST RUSS AG,HXCK.DE
SENDR SE,SD1.DE
ROYAL MINT PHYSICAL GOLD ETC,RM8U.DE
WT ZINC,OD7T.DE
PAYPAL HOLDINGS INC,2PP.DE
HORNBACH HOLDING AG & CO KGA,HBH.DE
HUGO BOSS AG  -ORD,BOSS.DE
MORPHOSYS AG,MOR.DE
PEPSICO INC,PEP.DE
EDGEWATER EXPLORATION LTD,9EWN.DE
WT PHYSICAL SILVER,VZLC.DE
CLEVELAND-CLIFFS INC,CVA.DE
BNP PAR RICI ENH METALS,B4NN.DE
HENRY SCHEIN INC,HS2.DE
JPMORGAN CHASE & CO,CMC.DE
ATOSS SOFTWARE AG,AOF.DE
PETRO WELT TECHNOLOGIES AG,O2C.DE
ILLUMINA INC,ILU.DE
HARTFORD FINANCIAL SVCS GRP,HFF.DE
WALLSTREET:ONLINE AG,WSO1.DE
XYLEM INC,XY6.DE
WT AGRICULTURE,OD7U.DE
BNP PAR RICI ENH LEAD TR,BNQT.DE
VERBIO VEREINIGTE BIOENERGI,VBK.DE
WT NATURAL GAS 3X DLY SHORT,NGXS.DE
SOUTHERN CO/THE,SOT.DE
BNP PAR RICI ENH NTR GAS CRD,B4NH.DE
WT WTI CRUDE OIL PRE-ROLL,0LJC.DE
DAIMLER AG-REGISTERED SHARES,DAI.DE
WT BROAD COMMOD LONGER DATED,9GAF.DE
CREDIT ACCEPTANCE CORP,2D5.DE
EDISON INTERNATIONAL,EIX.DE
NVIDIA CORP,NVD.DE
EVERSOURCE ENERGY,NWJ.DE
SIEMENS HEALTHINEERS AG,SHL.DE
ELMOS SEMICONDUCTOR SE,ELG.DE
BNP PAR RICI ENH GASOLINE,B4NJ.DE
ZOOLOGISCHER GARTEN BERLIN-R,ZOO6.DE
AIXTRON SE,AIXA.DE
E.ON SE -SPONSORED ADR,EOAA.DE
WT PRECS METALS-EUR DLY HDG,00XQ.DE
WT BRENT CRUDE 3X DLY SHORT,3BFS.DE
NEMETSCHEK SE,NEM.DE
WT ENERGY - EUR DAILY HEDGED,EHEN.DE
GLAXOSMITHKLINE PLC,GS7.DE
MYNARIC AG,M0Y.DE
NORDEX SE,NDX1.DE
SOCIAL CHAIN AG /THE,PU11.DE
YELLOW CORP,YEL.DE
HONEYWELL INTERNATIONAL INC,ALD.DE
NUERNBERGER BETEILIG-AKT 'B',NBG6.DE
BANK OF AMERICA CORP,NCB.DE
BNP PAR RICI ENH TIN TR,B4NE.DE
GOLD RESOURCE CORP,GIH.DE
ROYAL DUTCH SHELL PLC-A SHS,R6C.DE
UNDER ARMOUR INC-CLASS C,U9RA.DE
SERVICEWARE SE,SJJ.DE
ROCKWELL AUTOMATION INC,RWL.DE
TELEFONICA SA,TNE5.DE
BIO-RAD LABORATORIES-A,BUWA.DE
EXELON CORP,PEO.DE
PFIZER INC,PFE.DE
DMG MORI AG,GIL.DE
BAUMOT GROUP AG,TINC.DE
ANGLO AMERICAN PLC,NGLB.DE
ASTRAZENECA PLC,ZEG.DE
EVONIK INDUSTRIES AG,EVK.DE
KNORR-BREMSE AG,KBX.DE
TJX COMPANIES INC,TJX.DE
KOMAX HOLDING AG-REG,KR8.DE
SM WIRTSCHAFTSBERATUNG AG,SMWN.DE
MIDWAY LTD,MI6.DE
NEWRON PHARMACEUTICALS SPA,NP5.DE
HERMES INTERNATIONAL,HMI.DE
WT SHORT JPY LONG EUR,SJPL.DE
NORSKE SKOG ASA,0BQ.DE
WT GOLD,OD7H.DE
WHITING PETROLEUM CORP,WHT2.DE
ENERGIEKONTOR AG,EKT.DE
MTU AERO ENGINES AG,MTX.DE
SCHOELLER-BLECKMANN OILFIELD,SLL.DE
BNP PAR RICI ENH NICKEL,B4NC.DE
TRAUMHAUS AG,TRU.DE
XCEL ENERGY INC,NRN.DE
DELL TECHNOLOGIES -C,12DA.DE
X IE PHYSICAL GOLD ETC EUR,XGDE.DE
ADESSO SE,ADN1.DE
LANG & SCHWARZ AG,LUS.DE
ZOOPLUS AG,ZO1.DE
FORTIVE CORP,F03.DE
MSCI INC,3HM.DE
DEUTSCHE ROHSTOFF AG,DR0.DE
BOEING CO/THE,BCO.DE
EXXON MOBIL CORP,XONA.DE
TRADE DESK INC/THE -CLASS A,TT8.DE
TONKENS AGRAR AG,GTK.DE
NANOREPRO AG,NN6.DE
NEXUS AG,NXU.DE
DOLBY LABORATORIES INC-CL A,FUO.DE
UNITED STATES STEEL CORP,USX1.DE
ROSENBAUER INTERNATIONAL AG,ROI.DE
SOFTLINE AG,SFD1.DE
PUBLIC SERVICE ENTERPRISE GP,PSE.DE
ONEOK INC,ONK.DE
ENPHASE ENERGY INC,E0P.DE
INTERCONTINENTAL EXCHANGE IN,IC2.DE
ETSY INC,3E2.DE
TEXAS INSTRUMENTS INC,TII.DE
CME GROUP INC,MX4A.DE
PRUDENTIAL PLC,PRU.DE
C.H. ROBINSON WORLDWIDE INC,CH1A.DE
WUESTENROT & WUERTTEMBERG,WUW.DE
AIFINYO AG,EBE.DE
TELEFLEX INC,TBH.DE
RAIFFEISEN BANK INTERNATIONA,RAW.DE
RELX PLC,RDEB.DE
ZOETIS INC,ZOE.DE
INVISION AG,IVX.DE
HELMA EIGENHEIMBAU AG,H5E.DE
FRIWO AG,CEA.DE
E.ON SE,EOAN.DE
TLG IMMOBILIEN AG,TLG.DE
TRATON SE,8TRA.DE
KLASSIK RADIO AG,KA8.DE
AZTEC MINERALS CORP,AZ3.DE
RIGAS AUTOELEKTROAPARATU RUP,WA0.DE
ECKERT & ZIEGLER STRAHLEN UN,EUZ.DE
ALADDIN HEALTHCARE TECHNOLOG,NMI.DE
DOVER CORP,DOV.DE
TOYOTA MOTOR CORP -SPON ADR,TOMA.DE
ASKNET SOLUTIONS AG,ASKN.DE
MUELLER-DIE LILA LOGISTIK AG,MLL.DE
INTERTAINMENT AG,ITN.DE
WT BRENT CRUDE OIL 1MTH,OESA.DE
TELES AG INFORMATIONSTECHNOL,TLIK.DE
ALSTRIA OFFICE REIT-AG,AOX.DE
MIC AG,M3BK.DE
3D SYSTEMS CORP,SYV.DE
QUIRIN PRIVATBANK AG,QB7.DE
CHIPOTLE MEXICAN GRILL INC,C9F.DE
BNP PAR RICI ENH WTI CRUDE,BNQD.DE
RENAULT SA,RNL.DE
HAMBORNER REIT AG,HABA.DE
DATAGROUP SE,D6H.DE
SLEEPZ AG,BTBB.DE
XTRACKER GOLD ETC EUR,XAD5.DE
LEIDOS HOLDINGS INC,S6IA.DE
UNILEVER PLC,UNVB.DE
FACEBOOK INC-CLASS A,FB2A.DE
NESTLE SA-REG,NESR.DE
SIGULDAS CMAS,W2I.DE
AIRBUS SE,AIR.DE
ALTRIA GROUP INC,PHM7.DE
OTIS WORLDWIDE CORP,4PG.DE
WEYERHAEUSER CO,WHC.DE
K+S AG-REG,SDF.DE
APPLIED MATERIALS INC,AP2.DE
ESSEX PROPERTY TRUST INC,EXP.DE
WT PHYSICAL SWISS GOLD,GZUR.DE
ADLER REAL ESTATE AG,ADL.DE
FREEPORT-MCMORAN INC,FPMB.DE
ALBIS LEASING AG,ALG.DE
IQVIA HOLDINGS INC,QTS.DE
GAMBIER GOLD CORP,25CN.DE
PROLOGIS INC,POJN.DE
PEARSON PLC,PES.DE
VESTAS WIND SYSTEMS A/S,VWS.DE
READCREST CAPITAL AG,EXJ.DE
REAL ESTATE OPPORTUNITIES-O,REA.DE
BP PLC,BPE5.DE
KHD HUMBOLDT WEDAG INTERNATI,KWG.DE
BRITISH AMERICAN TOBACCO PLC,BMT.DE
QUEST DIAGNOSTICS INC,QDI.DE
EQUIFAX INC,EFX.DE
EVOTEC SE,EVT.DE
NORCOM INFORMATION TECHNOLOG,NC5A.DE
NOVO-NORDISK A/S-SPONS ADR,NOVA.DE
AUTODESK INC,AUD.DE
ANNALY CAPITAL MANAGEMENT IN,AAY.DE
SIEMENS AG-REG,SIE.DE
STRATEC SE,SBS.DE
WELLTOWER INC,HCW.DE
MWB FAIRTRADE WERTPAPIERHAND,MWB.DE
ALIGN TECHNOLOGY INC,AFW.DE
T-MOBILE US INC,TM5.DE
HANNOVER RUECK SE,HNR1.DE
MCEWEN MINING INC,US8A.DE
CINTAS CORP,CIT.DE
XTRACKER  SILVER ETC EUR HDG,XAD2.DE
GOLDMAN SACHS GROUP INC,GOS.DE
UNIQA INSURANCE GROUP AG,UN9.DE
BLUE CAP AG,B7E.DE
SANOFI,SNW.DE
U-BLOX HOLDING AG,3BG.DE
PACIFICO RENEWABLES YIELD AG,PRY.DE
KELLOGG CO,KEL.DE
WT COFFEE 2X DAILY LEVERAGED,4RT2.DE
SILTRONIC AG,WAF.DE
WT SUGAR,OD7R.DE
ORANGE-SPON ADR,FTE1.DE
SNOWFLAKE INC-CLASS A,5Q5.DE
UNITEDHEALTH GROUP INC,UNH.DE
POST HOLDINGS INC,2PO.DE
BIG RIVER INDUSTRIES LTD,BQ3.DE
AMAZON.COM INC,AMZ.DE
SNAP-ON INC,SPU.DE
WT SILVER - EUR DAILY HEDGED,00XR.DE
TUBESOLAR AG,9TS.DE
LOTTO24,LO24.DE
GROUPON INC,G5NA.DE
FISERV INC,FIV.DE
WABTEC CORP,WB2.DE
PATTERSON COS INC,PD2.DE
LEG IMMOBILIEN AG,LEG.DE
DELTICOM AG,DEX.DE
EYEMAXX REAL ESTATE AG,BNT1.DE
TARGET CORP,DYH.DE
APPLE INC,APC.DE
RIB SOFTWARE SE,RIB.DE
XTRACKER ENERGY ETC EUR HDG,XCTH.DE
TESORO MINERALS CORP,NXPT.DE
ALBERTSONS COS INC - CLASS A,27S.DE
NASDAQ INC,NAQ.DE
BT GROUP PLC,BTQ.DE
ALPHABET INC-CL C,ABEC.DE
WT COCOA 2X DAILY LEVERAGED,4RUP.DE
BNP PARIBAS,BNP.DE
SBF AG,CY1K.DE
SPLUNK INC,S0U.DE
INTUIT INC,ITU.DE
NEWMONT CORP,NMM.DE
LOGWIN AG,TGHN.DE
WT SHORT USD LONG EUR 5X DLY,5CH6.DE
ELORO RESOURCES LTD,P2QM.DE
MORGAN STANLEY,DWD.DE
FORTEC ELEKTRONIK AG,FEV.DE
BIOGEN INC,IDP.DE
HAWESKO HOLDING AG,HAW.DE
DEXCOM INC,DC4.DE
MTU AERO ENGINES AG-NEW,MTXN.DE
ARTNET AG - REG,ART.DE
SYSCO CORP,SYY.DE
GENERAL DYNAMICS CORP,GDX.DE
SCHWAELBCHEN MOLKEREI AG,SMB.DE
WT SILVER,OD7N.DE
WT BUND 10Y 3X DAILY SHORT,SBU3.DE
DEUTSCHE TELEKOM AG-REG,DTE.DE
ING GROEP N.V.-SPONSORED ADR,INNA.DE
VF CORP,VFP.DE
FRESENIUS MEDICAL CARE AG &,FME.DE
MMC NORILSK NICKEL PJSC-ADR,NNIC.DE
XPHYTO THERAPEUTICS CORP,4XT.DE
PUMA SE,PUM.DE
FLATEXDEGIRO AG,FTK.DE
INTL FLAVORS & FRAGRANCES,IFF.DE
HENNES & MAURITZ AB-B SHS,HMSB.DE
BNP PAR RICI ENH IND METALS,B4NM.DE
HEWLETT PACKARD ENTERPRISE,2HP.DE
VODAFONE GROUP PLC-SP ADR,VODJ.DE
DOLLAR TREE INC,DT3.DE
HILTON WORLDWIDE HOLDINGS IN,HI91.DE
MARATHON PETROLEUM CORP,MPN.DE
WCM BETEILIGUNGS & GRUND AG,WCMK.DE
WT AGRICULTURE LONGER DATED,9GAL.DE
SLACK TECHNOLOGIES INC- CL A,8S0.DE
CLIQ DIGITAL AG,CLIQ.DE
CTS EVENTIM AG-ADR,EVD0.DE
ENEL SPA,ENL.DE
UNIPER SE,UN01.DE
ASML HOLDING NV,ASME.DE
GRENKE AG,GLJ.DE
MEDTRONIC PLC,2M6.DE
PINNACLE WEST CAPITAL,PWC.DE
CMS ENERGY CORP,CSG.DE
WENG FINE ART AG,WFA.DE
ENAPTER AG,H2O.DE
COLOPLAST-B,CBHD.DE
WILLIAMS COS INC,WMB.DE
WT PLATINUM 2X DLY LEVERAGED,4RUM.DE
INTUITIVE SURGICAL INC,IUI1.DE
GERRY WEBER INTERNATIONA-NEW,GWI2.DE
VERBUND AG,OEWA.DE
LUMENTUM HOLDINGS INC,LU2.DE
ORANGE,FTE.DE
BRENNTAG AG-NEW,BNRB.DE
EQUITY RESIDENTIAL,EQR.DE
UNIQURE NV,UQ1.DE
WT GOLD 3X DAILY SHORT,PCFN.DE
WT LONG USD SHORT EUR,XBJP.DE
SGT GERMAN PRIVATE EQUITY GM,SGF.DE
WT SOYBEAN OIL,OD7P.DE
QUALCOMM INC,QCI.DE
BNP PARIBAS LEAD ETC,B4NU.DE
FYBER N.V,FBEN.DE
DELIGNIT AG,DLX.DE
RHOEN-KLINIKUM AG,RHK.DE
MUENCHENER RUECKVER AG-REG,MUV2.DE
BITCOIN GROUP SE,ADE.DE
RH,RS1.DE
SCHINDLER HOLDING AG-REG,SHR.DE
WT LIVE CATTLE,OD7K.DE
PROCTER & GAMBLE CO/THE,PRG.DE
WT NICKEL 2X DAILY LEVERAGED,4RUD.DE
SCHLOSS WACHENHEIM AG,SWA.DE
PAION AG,PA8.DE
WT LONG AUD SHORT EUR,XBJJ.DE
KANDI TECHNOLOGIES GROUP INC,K8A.DE
HERSHEY CO/THE,HSY.DE
MGM RESORTS INTERNATIONAL,MGG.DE
DISH NETWORK CORP-A,EOT.DE
VECTRON SYSTEMS AG,V3S.DE
LIBERTY BROADBAND-C,8L8C.DE
ITT INC,2II.DE
EXASOL AG,EXL.DE
WT CORN,OD7D.DE
OI SA-ADR,TSLL.DE
RATIONAL AG,RAA.DE
INFINEON TECHNOLOGIES AG,IFX.DE
AGRANA BETEILIGUNGS AG,AGB2.DE
DUKE ENERGY CORP,D2MN.DE
GERATHERM MEDICAL AG,GME.DE
MBH CORP PLC,M8H.DE
TALANX AG,TLX.DE
ERICSSON (LM) TEL-SP ADR,ERCA.DE
CAPSENSIXX AG,CPX.DE
SYMRISE AG,SY1.DE
NETFONDS AG,NF4.DE
AMEREN CORPORATION,AE4.DE
VEOLIA ENVIRONNEMENT,VVD.DE
ENVITEC BIOGAS AG,ETG.DE
COREO AG,CORE.DE
MACY'S INC,FDO.DE
INSPIREMD INC,II2Q.DE
VMWARE INC-CLASS A,BZF1.DE
ELI LILLY & CO,LLY.DE
TORO CO,TO2.DE
DEERE & CO,DCO.DE
ARBOR METALS CORP,432.DE
BNP PAR RICI ENH WTI CRUDE,B4NG.DE
BEIERSDORF AG,BEI.DE
MUSGRAVE MINERALS LTD,6MU.DE
BNP PARIBAS TIN ETC,B4NT.DE
CAPITAL ONE FINANCIAL CORP,CFX.DE
WACKER NEUSON SE,WAC.DE
VESTAS WIND SYSTEMS-UNSP ADR,VWSA.DE
HOME24 SE,H24.DE
INTL BUSINESS MACHINES CORP,IBM.DE
SIXT SE,SIX2.DE
VERTEX PHARMACEUTICALS INC,VX1.DE
MOOVLY MEDIA INC,0PV2.DE
GOPRO INC-CLASS A,5G5.DE
MERKUR PRIVATBANK KGAA,MBK.DE
REGENERON PHARMACEUTICALS,RGO.DE
T ROWE PRICE GROUP INC,TR1.DE
ARROW ELECTRONICS INC,ARW.DE
DIALOG SEMICONDUCTOR PLC,DLG.DE
COSTCO WHOLESALE CORP,CTO.DE
ISH MSCI EMU ESG EHNCD EUR-D,EMNE.DE
NATIONAL GRID PLC,NNGF.DE
ALUMINUM CORP OF CHINA-ADR,AOCA.DE
ALBENA AD,6AB.DE
BNP COLLAT.ETC ON GOLD,BNQJ.DE
MARRIOTT VACATIONS WORLD,M8V.DE
LUMEN TECHNOLOGIES INC,CYTH.DE
SMA SOLAR TECHNOLOGY AG,S92.DE
ERGOMED PLC,2EM.DE
AMS AG,DQW1.DE
BORGWARNER INC,BGW.DE
FREDDIE MAC,FHL.DE
MERCK KGAA,MRK.DE
PRO DV AG,PDA.DE
HELLA GMBH & CO KGAA,HLE.DE
BAUER AG,B5A.DE
AGNC INVESTMENT CORP,4OQ1.DE
SIENNA RESOURCES INC,HRJ1.DE
WT WTI CRUDE OIL,OD7F.DE
DISCOVERY INC-C,DC6C.DE
GAMESTOP CORP-CLASS A,GS2C.DE
DWS GROUP GMBH & CO KGAA,DWS.DE
PATRIZIA AG,PAT.DE
COMPASS GROUP PLC,XGR2.DE
G1 THERAPEUTICS INC,G1H.DE
HUNTINGTON INGALLS INDUSTRIE,HI4.DE
HEALTHPEAK PROPERTIES INC,HC5.DE
LPKF LASER & ELECTRONICS,LPK.DE
ERSTE GROUP BANK AG,EBO.DE
WT BRENT CRUDE - EUR DLY HDG,00XT.DE
ARISTA NETWORKS INC,117.DE
HECLA MINING CO,HCL.DE
CHEMOURS CO/THE,2CU.DE
STMICROELECTRONICS NV,SGM.DE
KINGFISHER PLC,KFI1.DE
ACCENTRO REAL ESTATE AG,A4Y.DE
DORMAKABA HOLDING AG,KABN.DE
CLOVIS ONCOLOGY INC,C6O.DE
EQS GROUP AG,EQS.DE
TABULA EUR PERF CREDIT D ETF,TABD.DE
BNP PAR RICI ENH CRUDE OIL,B4NY.DE
FORD MOTOR CO,FMC1.DE
CARREFOUR SA,CAR.DE
FRANCOTYP-POSTALIA HOLDING A,FPH.DE
CARL ZEISS MEDITEC AG - BR,AFX.DE
EXPEDITORS INTL WASH INC,EW1.DE
RADIAN GROUP INC,RAG.DE
ZIMMER BIOMET HOLDINGS INC,ZIM.DE
NATIONAL GRID PLC-SP ADR,NNGD.DE
SOFTING AG,SYT.DE
DISCOVER FINANCIAL SERVICES,DC7.DE
ON SEMICONDUCTOR CORP,XS4.DE
FONTERELLI GMBH CO KGAA,FTRK.DE
PACTON GOLD INC,2NKM.DE
VONTOBEL HOLDING AG-REG,VTLN.DE
BNP PAR RICI ENH ZINC,BNQR.DE
COCA-COLA HBC AG-UNSN ADR,CCKC.DE
SURTECO GROUP SE,SUR.DE
DVS TECHNOLOGY AG,DIS.DE
MUEHLBAUER HOLDING AG,MUB.DE
AMERICAN TOWER CORP,A0T.DE
LAS VEGAS SANDS CORP,LCR.DE
OCCIDENTAL PETROLEUM CORP,OPC.DE
BNP PAR RICI ENH COPPER TR,B4NB.DE
VERIANOS SE,VROS.DE
TRAVELERS COS INC/THE,PA9.DE
DEUTSCHE EUROSHOP AG,DEQ.DE
MPC CAPITAL AG,MPCK.DE
WESTERN DIGITAL CORP,WDC.DE
SOCIETE GENERALE SA,SGE.DE
NYNOMIC AG,M7U.DE
AMPHENOL CORP-CL A,XPH.DE
NIKOLA CORP,8NI.DE
TELECOM ITALIA SPA,TQI.DE
NFON AG,NFN.DE
FUCHS PETROLUB SE,FPE.DE
WT BROAD COMMODITIES,OD7V.DE
UNICREDIT SPA,CRIN.DE
LYXOR HWABAO WP MSCI CHINA A,CNAA.DE
LANDSHUTER BRAUHAUS AG PRIVA,LBH1.DE
S&P GLOBAL INC,MHL.DE
BASTEI LUBBE AG,BST.DE
VARTA AG,VAR1.DE
GRAND CITY PROPERTIES,GYC.DE
HESS CORP,AHC.DE
KEYSIGHT TECHNOLOGIES IN,1KT.DE
MAX21 AG KONV,MA10.DE
KBR INC,K6B.DE
WILD BUNCH AG,WBAH.DE
AMERICOLD REALTY TRUST,YAR.DE
HORMEL FOODS CORP,HO7.DE
MPH HEALTH CARE AG KONV,93M1.DE
CORESTATE CAPITAL HOLDING S.,CCAP.DE
OPENLIMIT HOLDING AG,O5H.DE
TUFF GROUP AG,TUF.DE
M1 KLINIKEN AG,M12.DE
AMERICAN EXPRESS CO,AEC1.DE
BLUE SKY URANIUM CORP,MAL2.DE
BNP PAR RICI ENH METALS,BNQW.DE
ELUMEO SE,ELB.DE
INPHI CORP,IN0.DE
BERKSHIRE HATHAWAY INC-CL A,BRH.DE
SPOTIFY TECHNOLOGY SA,639.DE
ORWO NET AG,6ON.DE
INVESCO PHYSICAL GOLD ETC,8PSG.DE
UNITED INTERNET AG-REG SHARE,UTDI.DE
UMT UNITED MOBILITY TECHNOLO,UMDK.DE
NETAPP INC,NTA.DE
VANECK VECTORS BITCOIN ETN,VBTC.DE
BOSTON SCIENTIFIC CORP,BSX.DE
SAP SE,SAP.DE
ATMOS ENERGY CORP,AEO.DE
MCDONALD'S CORP,MDO.DE
CUMMINS INC,CUM.DE
DXC TECHNOLOGY CO,2XT.DE
KSB SE & CO KGAA,KSB.DE
BNP PAR ENH INDUSTR METL ER,0GZD.DE
LAM RESEARCH CORP,LAR.DE
AIR PRODUCTS & CHEMICALS INC,AP3.DE
ALLIANZ SE-NEW,ALVN.DE
VAPIANO SE,VAO.DE
METRO MINING LTD,6ME.DE
BNP PARIBAS WTI CRUDE OIL,BNQB.DE
FRESENIUS SE & CO KGAA-NEW,FREN.DE
CEOTRONICS AG,CEK.DE
TEAMVIEWER AG,TMV.DE
BOOKING HOLDINGS INC,PCE1.DE
BNP PARIBAS NICKEL FUTURES,B4NR.DE
METRO AG,B4B.DE
INVIVO THERAPEUTICS HOLDINGS,04IC.DE
KRONES AG,KRN.DE
PROSUS NV,1TY.DE
BASF SE,BAS.DE
PPG INDUSTRIES INC,PPQ.DE
PANTAFLIX AG,PAL.DE
ALBEMARLE CORP,AMC.DE
POWER GROUP PROJECTS CORP,9GCA.DE
VIATRIS INC,VIA.DE
DEVON ENERGY CORP,DY6.DE
CONSUS REAL ESTATE AG,CC1.DE
LIVE NATION ENTERTAINMENT IN,3LN.DE
THYSSENKRUPP AG,TKA.DE
WT GRAINS,OD7Y.DE
RACKLA METALS INC,RLH1.DE
UZIN UTZ AG,UZU.DE
WALGREENS BOOTS ALLIANCE INC,W8A.DE
TRUIST FINANCIAL CORP,BBK.DE
CTS EVENTIM AG & CO KGAA,EVD.DE
TRACTOR SUPPLY COMPANY,TR4.DE
